"YEAR","SEX","Age_group","ENTIDAD_NAME","ENTIDAD","PSY","Dx","mx","all_other","circulatory","diabetes","digestive","homicides","infectious","neoplasms","other_external","perinatal","respiratory","covid"
2015,"FEMALES",0,"República Mexicana",0,1086717,14548,0.013387109983556,0.33694192802722,0.0111705071609669,0,0.0123455048227937,0.0062768665467925,0.0410195238566754,0.00338861964244019,0.0396253222798217,0.485012699204589,0.0642190284587007,0
2015,"FEMALES",1,"República Mexicana",0,4422918,2288,0.000517305543534834,0.372232929048777,0.028156879086607,0.00219967733060196,0.034755478022571,0.0381161308556453,0.108745828845926,0.073439734790384,0.216955677253003,0,0.125397664766485,0
2015,"FEMALES",10,"República Mexicana",0,5674222,1820,0.000320748818075852,0.332775364806307,0.0569556403027879,0.0112362586268727,0.0389705610844741,0.0448720162979317,0.0464858551635637,0.185777526588484,0.247689311318037,0,0.0352374658115419,0
2015,"FEMALES",15,"República Mexicana",0,5662037,3199,0.000564991009419401,0.286299482013466,0.0413130944526905,0.018996446076596,0.042965334825531,0.129083692976823,0.0314058335910868,0.101162166340998,0.306637413990119,0,0.0421365357326891,0
2015,"FEMALES",20,"República Mexicana",0,5599663,4368,0.000780046942110623,0.32153465439094,0.0539682542136697,0.0269700004440192,0.044099703310348,0.121331206440037,0.0451067109450997,0.100983203547405,0.243885027500847,0,0.042121239207634,0
2015,"FEMALES",25,"República Mexicana",0,5207133,4842,0.000929878303473332,0.284923639431568,0.0767844586855724,0.0484244200745757,0.0536389219704521,0.126936344028437,0.0588319077176156,0.127919846560806,0.182919214156863,0,0.0396212473741092,0
2015,"FEMALES",30,"República Mexicana",0,4773373,5212,0.00109189036767083,0.266940783375885,0.0826071355494695,0.064053543902852,0.064879237590726,0.0872715451628992,0.0603972091448382,0.198246744453538,0.130852324795617,0,0.0447514760241744,0
2015,"FEMALES",35,"República Mexicana",0,4450911,6098,0.00137005660189566,0.215961191441032,0.10955323210131,0.0928173473015371,0.0771557838192457,0.0665352342517234,0.0489232982052801,0.247235084318555,0.104628192828985,0,0.0371906357323315,0
2015,"FEMALES",40,"República Mexicana",0,4203558,7880,0.00187460242014027,0.188413513789192,0.121751627588039,0.127106898016243,0.082312287226281,0.0341580869750135,0.041878090564823,0.295341446691967,0.0649851400141427,0,0.0440529091342995,0
2015,"FEMALES",45,"República Mexicana",0,3661986,10091,0.00275560856868377,0.164260561781473,0.132873588280606,0.174521072836449,0.0978872768935599,0.0194950565082733,0.0323149510180414,0.294585844379741,0.0430826773867909,0,0.0409789709150655,0
2015,"FEMALES",5,"República Mexicana",0,5650192,1281,0.000226717959318905,0.368658205978921,0.045628580278638,0.00447249609551748,0.047429685072092,0.0437397980231893,0.0554810672806176,0.203896890032418,0.171633755618931,0,0.0590595216196753,0
2015,"FEMALES",50,"República Mexicana",0,3113503,13174,0.00423124692669318,0.155509116263513,0.141101083103591,0.226580518967393,0.099486168236525,0.0104341533572915,0.0250593633259395,0.270193360053776,0.0316432642424142,0,0.0399929724495576,0
2015,"FEMALES",55,"República Mexicana",0,2513548,16691,0.00664041426700425,0.143636536031937,0.157739719354488,0.264664782162966,0.104818470103627,0.00606071503183013,0.0219468420494394,0.229339302075389,0.0232411225579557,0,0.0485525106323673,0
